step,phase_0_adam_1_lbfgs,weighted_pde_residual
1.210000000000000000e+02,0.000000000000000000e+00,3.656005508452633834e-01
1.220000000000000000e+02,0.000000000000000000e+00,3.648393756513929054e-01
1.230000000000000000e+02,0.000000000000000000e+00,3.640682857372810055e-01
1.240000000000000000e+02,0.000000000000000000e+00,3.632819855005632870e-01
1.250000000000000000e+02,0.000000000000000000e+00,3.624813239086498995e-01
1.260000000000000000e+02,0.000000000000000000e+00,3.616697426412922023e-01
1.270000000000000000e+02,0.000000000000000000e+00,3.608470805368889645e-01
1.280000000000000000e+02,0.000000000000000000e+00,3.600078334718290196e-01
1.290000000000000000e+02,0.000000000000000000e+00,3.591454073615310549e-01
1.300000000000000000e+02,0.000000000000000000e+00,3.582570144954730917e-01
1.310000000000000000e+02,0.000000000000000000e+00,3.573435899002338489e-01
1.320000000000000000e+02,0.000000000000000000e+00,3.564053618172429161e-01
1.330000000000000000e+02,0.000000000000000000e+00,3.554386879365148411e-01
1.340000000000000000e+02,0.000000000000000000e+00,3.544376588539687734e-01
1.350000000000000000e+02,0.000000000000000000e+00,3.533978998634901836e-01
1.360000000000000000e+02,0.000000000000000000e+00,3.523176469500352015e-01
1.370000000000000000e+02,0.000000000000000000e+00,3.511950753989508955e-01
1.380000000000000000e+02,0.000000000000000000e+00,3.500256690104681656e-01
1.390000000000000000e+02,0.000000000000000000e+00,3.488030228817157186e-01
1.400000000000000000e+02,0.000000000000000000e+00,3.475217353233283624e-01
1.410000000000000000e+02,0.000000000000000000e+00,3.461784104884542135e-01
1.420000000000000000e+02,0.000000000000000000e+00,3.447696334922231154e-01
1.430000000000000000e+02,0.000000000000000000e+00,3.432899404045736680e-01
1.440000000000000000e+02,0.000000000000000000e+00,3.417325200410287200e-01
1.450000000000000000e+02,0.000000000000000000e+00,3.400913353402877926e-01
1.460000000000000000e+02,0.000000000000000000e+00,3.383614766303811305e-01
1.470000000000000000e+02,0.000000000000000000e+00,3.365374080218107578e-01
1.480000000000000000e+02,0.000000000000000000e+00,3.346119220998320376e-01
1.490000000000000000e+02,0.000000000000000000e+00,3.325773514748476267e-01
1.500000000000000000e+02,0.000000000000000000e+00,3.304269942141107030e-01
1.510000000000000000e+02,0.000000000000000000e+00,3.281544843972972192e-01
1.520000000000000000e+02,0.000000000000000000e+00,3.257522717551372682e-01
1.530000000000000000e+02,0.000000000000000000e+00,3.232117884818926368e-01
1.540000000000000000e+02,0.000000000000000000e+00,3.205249513186491095e-01
1.550000000000000000e+02,0.000000000000000000e+00,3.176844291083666394e-01
1.560000000000000000e+02,0.000000000000000000e+00,3.146824597703516413e-01
1.570000000000000000e+02,0.000000000000000000e+00,3.115106771971329347e-01
1.580000000000000000e+02,0.000000000000000000e+00,3.081614558303723550e-01
1.590000000000000000e+02,0.000000000000000000e+00,3.046283540351581443e-01
1.600000000000000000e+02,0.000000000000000000e+00,3.009051093134812449e-01
1.610000000000000000e+02,0.000000000000000000e+00,2.969857355047099134e-01
1.620000000000000000e+02,0.000000000000000000e+00,2.928661589295541434e-01
1.630000000000000000e+02,0.000000000000000000e+00,2.885447021085909003e-01
1.640000000000000000e+02,0.000000000000000000e+00,2.840213884005651224e-01
1.650000000000000000e+02,0.000000000000000000e+00,2.792986885912608352e-01
1.660000000000000000e+02,0.000000000000000000e+00,2.743826697512121715e-01
1.670000000000000000e+02,0.000000000000000000e+00,2.692822982404359244e-01
1.680000000000000000e+02,0.000000000000000000e+00,2.640094075544796581e-01
1.690000000000000000e+02,0.000000000000000000e+00,2.585801492183021910e-01
1.700000000000000000e+02,0.000000000000000000e+00,2.530140929319050214e-01
1.710000000000000000e+02,0.000000000000000000e+00,2.473324399988609812e-01
1.720000000000000000e+02,0.000000000000000000e+00,2.415576005565739925e-01
1.730000000000000000e+02,0.000000000000000000e+00,2.357107226096281649e-01
1.740000000000000000e+02,0.000000000000000000e+00,2.298100665199789006e-01
1.750000000000000000e+02,0.000000000000000000e+00,2.238707961793564849e-01
1.760000000000000000e+02,0.000000000000000000e+00,2.179022121396835265e-01
1.770000000000000000e+02,0.000000000000000000e+00,2.119082145308952003e-01
1.780000000000000000e+02,0.000000000000000000e+00,2.058880993994912090e-01
1.790000000000000000e+02,0.000000000000000000e+00,1.998394110771352927e-01
1.800000000000000000e+02,0.000000000000000000e+00,1.937613629536859006e-01
1.810000000000000000e+02,0.000000000000000000e+00,1.876566751907595143e-01
1.820000000000000000e+02,0.000000000000000000e+00,1.815354048092079897e-01
1.830000000000000000e+02,0.000000000000000000e+00,1.754186308736942479e-01
1.840000000000000000e+02,0.000000000000000000e+00,1.693424012576600080e-01
1.850000000000000000e+02,0.000000000000000000e+00,1.633581390277396017e-01
1.860000000000000000e+02,0.000000000000000000e+00,1.575304562890489091e-01
1.870000000000000000e+02,0.000000000000000000e+00,1.519328045418677775e-01
1.880000000000000000e+02,0.000000000000000000e+00,1.466366147398463216e-01
1.890000000000000000e+02,0.000000000000000000e+00,1.417020000490339382e-01
1.900000000000000000e+02,0.000000000000000000e+00,1.371736768882921009e-01
1.910000000000000000e+02,0.000000000000000000e+00,1.330760534262007688e-01
1.920000000000000000e+02,0.000000000000000000e+00,1.294107388579194273e-01
1.930000000000000000e+02,0.000000000000000000e+00,1.261566315048807951e-01
1.940000000000000000e+02,0.000000000000000000e+00,1.232682226334829018e-01
1.950000000000000000e+02,0.000000000000000000e+00,1.206850451691243581e-01
1.960000000000000000e+02,0.000000000000000000e+00,1.183401956566569463e-01
1.970000000000000000e+02,0.000000000000000000e+00,1.161680882155979033e-01
1.980000000000000000e+02,0.000000000000000000e+00,1.141112457988837647e-01
1.990000000000000000e+02,0.000000000000000000e+00,1.121229997499139236e-01
